<music21.chord.Chord A4 B-4>|<music21.note.Rest rest>
<music21.chord.Chord F2 G4 G5>|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord F2 G4 D5 G5 D6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
<music21.chord.Chord B-2 G4 D5 G5 D6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord B-2 F4 G4 B-4 D5 G5 D6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord B-2 F4 G4 B-4 D5 G5 D6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord B-2 G4 D5 G5 D6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord B-2 F4 G4 B-4 D5 G5 D6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
<music21.chord.Chord C3 F4 G4 B-4 D5 G5 D6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord C3 G4 D5 G5 D6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord C3 C5 D5 G5 D6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord C3 E5 G5 E6>|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord C3 F5 G5 F6>|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord C3 F5 F6 G6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
<music21.chord.Chord A2 F5 F6 G6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord A2 F5 F6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord A2 F4 A4 C5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
